City,State,Professional,Service,Office,Construction,Production
Canandaigua,NY,38.8,17.0,23.7,8.8,11.6
Candor,NC,53.2,36.400000000000006,39.2,26.8,44.4
Cannelburg,IN,24.5,15.6,17.8,17.2,25.0
Cannon Beach,OR,28.8,21.8,25.8,9.9,13.8
Canovanas,PR,26.7,21.7,29.6,10.3,11.7
Canton,MO,23.3,22.6,18.6,13.0,22.5
Canton,OH,31.7,18.9,24.0,8.4,16.9
Canton,OK,34.6,17.1,26.1,9.4,12.8
Cantwell,AK,30.3,30.4,12.6,15.8,10.9
Cape Coral,FL,30.2,22.6,28.1,11.1,8.1
Carey,ID,31.9,26.2,22.6,13.8,5.5
Carlyle,IL,31.8,18.1,22.6,10.9,16.6
