City,State,population,Poverty,Diversity,Employment,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Mean,Income,Stdev,Income
Boones Mill,VA,265144,64.10000000000001,5436.6100000000015,1529302.24,551,583,648,1313,168,1361,418,106,1230,1279,880,1001,496,1120,28,1354,337,1069,1358,1069
Boston,KY,90156,65.4,5606.980000000001,1230489.7599999998,1322,1168,1161,831,1166,781,282,675,1287,418,183,1253,774,613,1269,506,295,518,212,518
Boston,MA,16807560,78.1,3530.9500000000003,24397617.839999996,1057,387,1078,77,693,940,272,1026,1356,544,348,141,141,540,1120,16,1260,888,1266,888
Boswell,OK,87692,64.5,4546.59,1123415.1199999999,1108,262,557,655,193,890,1208,19,298,1311,350,995,1123,933,1254,480,642,1224,106,1224
Boulder,UT,12672,60.8,5583.31,121937.12,518,482,146,421,1008,398,1218,1152,853,497,1230,730,554,845,1203,19,194,301,726,301
Bovina,TX,94556,72.4,3382.9600000000005,283773.12,1210,147,1303,751,104,51,295,970,466,498,363,626,1118,725,785,1294,375,866,481,866
Bowie,MD,4132524,35.8,2030.16,28311192.24,930,296,227,836,112,216,1258,1364,309,384,63,503,736,1316,87,1332,1242,840,589,840
Bowie,TX,415624,133.2,5290.49,702171.0399999999,339,77,215,270,481,1303,795,6,516,1078,69,487,341,358,892,23,543,1024,1115,1024
Bowling Green,KY,4526456,68.8,5119.120000000001,3452533.68,212,1135,1070,23,1335,446,985,1363,972,967,664,571,649,1249,194,25,441,404,16,404
Bowling Green,OH,1574540,38.5,5532.75,3976967.04,748,525,443,702,154,654,561,1017,674,514,750,1332,47,227,1087,1327,901,903,1296,903
Bowman,ND,99088,17.6,5750.400000000001,104707.35999999999,519,1201,911,1120,486,109,592,973,644,516,76,720,1044,210,1325,523,916,908,337,908
Box Elder,MT,152592,74.2,4404.01,447887.99999999994,0,1285,248,668,1066,242,20,1174,1153,1364,967,548,943,513,680,528,368,273,1026,273
Boyertown,PA,729256,21.6,4933.550000000001,25439639.679999996,1212,605,1105,434,537,690,1335,646,195,220,779,383,623,478,175,1320,169,24,872,24
Bozeman,MT,2552352,34.599999999999994,5682.5199999999995,3189206.96,1321,823,283,419,490,163,1124,750,599,614,780,27,51,967,489,1317,1136,390,829,390
Brady,TX,303996,72.8,4572.66,226770.15999999997,338,1204,522,1028,790,670,19,370,241,28,472,182,276,803,269,1313,1072,923,421,923
Brandon,FL,3458576,63.6,3853.09,37026154.4,196,32,12,671,1292,1025,1171,1240,942,602,688,1176,1357,1154,1171,467,49,415,444,415
Brazil,IN,831072,57.4,5808.790000000001,409489.76,278,115,748,1038,275,447,434,1296,391,977,111,1289,315,715,160,539,299,754,1260,754
Breaux Bridge,LA,1153328,75.69999999999999,4370.0,1454679.04,895,1334,1000,781,1219,996,65,1239,1315,984,727,1036,267,684,1060,22,506,1266,234,1266
