City,State,PrivateWork,PublicWork,SelfEmployed,FamilyWork
Brooks,KY,84.6,10.9,4.4,0.1
Brooksville,FL,79.9,14.5,5.4,0.1
Brookville,PA,82.0,10.5,7.2,0.3
Broomfield,CO,79.8,13.8,6.2,0.2
Browns Valley,MN,66.3,15.5,18.0,0.2
Brownsville,TX,72.7,18.2,8.9,0.2
Brownton,MN,85.5,8.5,5.9,0.1
Brunswick,NC,75.0,18.6,6.2,0.2
Brunswick,OH,83.4,11.4,5.1,0.1
Brusly,LA,76.5,17.9,5.6,0.0
Brutus,MI,80.9,12.0,6.8,0.4
Bryan,TX,68.3,25.6,5.8,0.2
Buchanan,GA,74.8,18.3,6.8,0.0
Buchanan,MI,85.3,8.9,5.6,0.2
Buchanan,NY,79.4,13.9,6.6,0.1
Buckatunna,MS,78.1,14.4,7.3,0.2
Buckhannon,WV,76.9,17.0,5.7,0.3
Buckholts,TX,68.5,21.3,9.8,0.4
Buena Vista,CO,69.6,18.5,10.6,1.3
Buena Vista,VA,82.6,15.0,2.3,0.0
Buffalo,MO,77.7,11.0,10.8,0.5
Buffalo,SD,53.7,18.6,24.4,3.4
Buffalo,WY,71.7,19.2,8.2,0.9
Buford,GA,83.7,11.2,5.1,0.0
Buhl,ID,78.8,10.6,9.6,1.0
Bullhead City,AZ,78.3,15.0,6.4,0.3
Bullock,NC,74.9,20.6,4.4,0.0
Buna,TX,77.7,15.5,6.7,0.1
Buncombe,IL,68.9,23.8,6.5,0.8
Burbank,SD,66.2,27.8,6.0,0.1
Burgaw,NC,76.7,14.9,8.2,0.2
Burley,ID,79.8,13.7,6.3,0.1
Burlington,VT,79.4,14.4,6.0,0.1
Burlington,WV,77.3,18.9,3.8,0.0
Burlington,WY,70.2,20.8,8.7,0.3
Burlington Junction,MO,74.6,16.4,8.7,0.3
Burns,TN,78.6,14.6,6.7,0.0
Burnsville,MS,80.6,13.1,6.2,0.1
Burton,WV,79.7,17.2,2.9,0.1
Burwell,NE,55.85,16.95,26.700000000000003,0.5
Bushnell,NE,68.2,16.9,14.9,0.0
Bussey,IA,82.7,11.3,5.9,0.1
Butte,MT,76.0,16.7,6.9,0.4
Butte,NE,59.1,14.9,24.8,1.1
Butternut,WI,74.4,18.9,6.6,0.1
Byhalia,MS,82.4,12.6,5.0,0.0
Byrdstown,TN,64.3,23.6,12.0,0.1
Byron,GA,66.55000000000001,27.95,5.449999999999999,0.05
Cabins,WV,77.7,15.1,7.1,0.0
Cadiz,KY,74.1,18.7,6.8,0.4
Caguas,PR,71.1,20.1,8.7,0.1
Cairo,IL,74.5,19.7,5.8,0.0
Cairo,NE,82.6,12.2,5.2,0.1
Caldwell,OH,79.8,13.8,6.1,0.4
Caledonia,NY,73.9,19.7,5.8,0.6
Calhoun,KY,82.9,11.5,5.3,0.3
Calhoun,MO,77.6,13.0,8.9,0.4
Calhoun City,MS,78.4,12.3,9.1,0.2
Caliente,NV,50.1,43.1,6.6,0.3
Call,TX,79.4,15.8,4.8,0.0
Calumet,MI,73.5,21.3,5.0,0.2
Calvin,WV,78.6,17.3,3.5,0.6
Camarillo,CA,77.8,13.2,8.8,0.2
Cambria,WI,79.7,11.2,8.9,0.2
Cambridge,KS,77.8,16.0,6.0,0.2
Cambridge,NE,66.1,17.4,15.1,1.4
Cambridge,NY,74.0,16.9,8.9,0.2
Camden,AR,74.4,20.7,4.9,0.0
Camden,IL,68.8,21.0,10.0,0.2
Camden,MO,81.1,13.0,5.6,0.3
Cameron,MO,76.1,14.8,9.0,0.1
Camilla,GA,72.5,18.5,7.9,1.1
Camp Douglas,WI,77.3,16.3,6.1,0.4
Camp Hill,PA,79.0,16.0,4.9,0.2
Campbellsburg,IN,83.8,9.7,6.4,0.1
Campbelltown,PA,81.0,12.3,6.4,0.2
Campton,KY,63.9,30.2,5.4,0.5
Campton,NH,75.8,15.4,8.6,0.2
Camuy,PR,66.5,23.9,9.3,0.2
Canandaigua,NY,79.1,15.1,5.7,0.1
Candor,NC,76.95,17.05,5.75,0.25
Cannelburg,IN,79.5,13.7,6.3,0.5
Cannon Beach,OR,74.9,15.9,8.9,0.3
Canovanas,PR,70.8,21.2,7.9,0.0
Canton,MO,79.2,12.1,8.4,0.3
Canton,OH,84.4,10.2,5.3,0.1
Canton,OK,65.6,22.6,10.8,1.1
Cantwell,AK,66.4,24.5,7.9,1.2
Cape Coral,FL,82.8,10.6,6.4,0.2
Carey,ID,73.2,14.0,12.6,0.2
Carlyle,IL,79.1,14.7,6.1,0.1
Carmel,NY,76.0,17.6,6.1,0.3
Carolina,PR,69.0,22.0,8.9,0.1
Carpenter,IA,79.0,12.2,8.8,0.0
Carpenter,SD,61.4,21.7,15.5,1.4
Carrabelle,FL,58.9,26.1,14.9,0.1
Carrington,ND,69.6,12.9,16.3,1.1
Carrollton,VA,74.4,19.9,5.5,0.2
Carson,MS,82.9,14.9,2.3,0.0
Carson,ND,52.4,13.3,32.8,1.5
Carson City,NV,70.3,24.5,4.9,0.2
Cartersville,GA,81.6,14.3,4.0,0.1
Cartersville,VA,68.0,23.3,8.6,0.0
Carthage,AR,72.2,22.2,4.8,0.7
Carthage,MS,73.4,20.5,5.8,0.3
Carthage,NC,74.9,16.0,9.0,0.1
Carthage,NY,64.3,25.9,9.1,0.7
Cartwright,ND,75.8,13.1,10.9,0.2
Cascade Locks,OR,79.0,13.3,7.7,0.0
Casco,WI,82.3,8.8,8.7,0.2
Cassatt,SC,77.1,17.5,5.2,0.2
Castalia,NC,77.0,16.5,6.4,0.1
Castell,TX,66.0,11.6,21.8,0.6
Castleford,ID,80.1,12.1,7.5,0.3
Cataldo,ID,79.7,12.1,8.0,0.3
Cataula,GA,76.9,17.6,5.5,0.0
Catoosa,OK,81.2,13.1,5.5,0.2
Cave City,AR,77.1,15.9,6.9,0.2
Cayce,SC,76.1,18.4,5.3,0.2
Cayey,PR,66.3,23.1,10.7,0.0
Cayuga,IN,82.3,10.6,6.7,0.4
Cecil,GA,74.9,17.5,7.6,0.0
Cedar Bluff,VA,76.7,18.2,5.1,0.0
Cedar Falls,NC,81.1,12.2,6.6,0.2
Cedar Valley,UT,83.1,12.3,4.4,0.2
Ceiba,PR,65.4,20.7,14.0,0.0
Centenary,SC,81.3,13.9,4.8,0.0
Center,NE,61.9,19.7,17.9,0.4
Center,TX,75.3,16.8,7.8,0.1
Center Harbor,NH,74.1,16.5,9.2,0.2
Centerview,MO,70.5,22.9,6.2,0.3
Centerville,KS,72.5,18.3,9.0,0.2
Centerville,PA,80.0,11.2,8.5,0.3
Centerville,TN,77.7,14.0,8.3,0.0
Central,SC,76.2,18.2,5.6,0.1
Central Bridge,NY,67.3,23.8,8.4,0.5
Central City,CO,80.3,14.2,5.5,0.0
Centralia,IL,78.7,15.4,5.9,0.0
Centreville,VA,72.9,21.5,5.4,0.1
Ceres,CA,78.9,14.2,6.8,0.2
Ceresco,NE,75.6,15.6,8.4,0.4
Chadwick,IL,78.1,12.0,9.8,0.1
Challis,ID,65.7,20.9,12.4,1.1
Chamberlain,SD,66.4,16.3,15.4,1.9
Chambers,NE,59.1,16.8,22.7,1.4
Chapel Hill,NC,67.7,25.5,6.6,0.2
Chapin,SC,73.6,22.1,4.3,0.1
Chapmansboro,TN,76.0,14.5,9.2,0.3
Chapmanville,WV,77.8,17.8,4.4,0.0
Chappell,NE,69.6,17.7,12.7,0.0
Charleston,SC,76.1,17.7,6.0,0.2
Charleston,TN,82.4,10.4,7.1,0.2
Charleston,WV,75.7,19.9,4.2,0.2
Charlo,MT,65.3,22.4,11.8,0.5
Charlottesville,VA,68.1,25.8,6.0,0.0
Chase,LA,71.8,16.3,11.6,0.3
Chateaugay,NY,62.5,28.9,8.3,0.2
Chatfield,MN,82.3,11.4,6.0,0.3
Cherokee,AL,78.55,15.350000000000001,6.050000000000001,0.0
Cherokee,NC,68.8,24.0,7.1,0.0
Cherokee,TX,64.5,21.7,13.5,0.3
Cherryvale,KS,70.1,18.9,10.8,0.2
Chesapeake,VA,73.1,22.6,4.2,0.1
Chester,IA,75.1,12.9,11.0,1.1
Chester,PA,85.3,9.8,4.8,0.1
Chester,TX,68.7,22.2,8.7,0.4
Chester Gap,VA,74.0,18.9,6.8,0.3
