City,State,Employed,Unemployment
Disputanta,VA,2551,6.9
Divide,CO,11501,8.2
Dixfield,ME,25041,9.2
Dixon Springs,TN,3376,10.5
Dodge,NE,23009,8.399999999999999
Dodson,LA,4920,6.3
Dodson,MT,2574,13.4
Dolliver,IA,4955,4.6
Donaldsonville,LA,55380,6.4
Donnelly,ID,4292,5.7
Doon,IA,5968,2.4
Dorado,PR,42008,38.4
Doswell,VA,52677,4.4
Dothan,AL,50989,16.4
Douglas,GA,15358,8.3
Douglass,TX,27638,8.6
Douglasville,GA,61844,10.5
Dove Creek,CO,801,4.6
Dover,DE,75246,8.4
Dover,OK,7289,3.6
Dow City,IA,8192,4.8
Downsville,LA,8096,7.7
Doyle,TN,9769,10.5
Doylesburg,PA,71278,6.9
Drakes Branch,VA,4523,7.3
Drewsey,OR,2901,16.1
Driscoll,ND,1337,0.9
Drummond,WI,6859,7.2
Dry Branch,GA,2581,6.7
Dryden,TX,415,3.7
Du Bois,NE,4000,3.4
Duck Hill,MS,3608,8.5
Dudley,GA,16926,6.6
Duke Center,PA,18277,9.1
Dulce,NM,15272,11.4
Duluth,MN,96700,6.9
Dumont,MN,2406,3.3
Dundee,MS,8706,20.3
Dunellen,NJ,402766,7.5
Dunn Center,ND,2078,4.3
Dunning,NE,287,0.7
Dupree,SD,948,27.4
Durand,WI,3618,4.6
Durango,CO,337,13.8
Durant,MS,5301,19.2
Durham,NC,145135,6.8
Dustin,OK,4546,7.1
Dutch John,UT,222,4.3
Eagle,ID,199955,6.6
Eagle Pass,TX,20309,13.1
Eagle River,WI,16557,6.3
Earle,AR,27476,18.5
Earling,IA,6153,2.9
East Concord,NY,441369,7.0
East Jordan,MI,11793,7.8
East Nassau,NY,80144,7.6
East Peoria,IL,64883,5.5
East Prairie,MO,4945,12.2
East Stone Gap,VA,13736,11.0
Eastsound,WA,7633,5.9
Eastview,KY,46001,8.2
Eaton,IN,5199,9.8
Eatonton,GA,9448,6.3
Eau Claire,WI,31085,5.1
Ebro,FL,8307,11.5
Echola,AL,87695,7.6
Eckert,CO,11362,11.7
Edelstein,IL,85639,8.7
Edgartown,MA,8849,5.2
Edgemont,SD,6828,9.3
Edgerton,MN,4716,3.7
Edgewood,NM,5348,11.2
Edinburg,ND,3694,3.5
Edison,OH,16096,7.0
Edon,OH,17119,7.1
Edson,KS,2992,4.0
Egegik,AK,657,9.8
Ekalaka,MT,606,2.3
El Cerrito,CA,509920,8.8
El Paso,TX,328885,14.100000000000001
El Reno,OK,63025,4.5
Eldorado,OK,1139,8.7
Eldorado,TX,1499,4.1
Eldridge,IA,83140,5.4
Electra,TX,4239,3.0
Electric City,WA,38314,10.1
Elfrida,AZ,43776,8.7
