City,population,minimum_age,maximum_age
Bandon,8685,0.0,84.0
Bandy,10745,0.0,84.0
Bangor,41064,0.0,84.0
Bangs,7420,0.0,84.0
Banks,27672,0.0,84.0
Bankston,9488,0.0,84.0
Banner,20737,0.0,84.0
Banner Elk,5258,0.0,84.0
Banning,9255,5.0,79.0
Bannister,6973,0.0,79.0
Bannock,5581,5.0,79.0
Banquete,10507,0.0,84.0
Banta,6535,0.0,84.0
Bantam,6870,0.0,84.0
Bantry,9913,0.0,84.0
Bar Harbor,9135,0.0,84.0
Baraboo,7107,5.0,84.0
Baraga,7246,0.0,84.0
Barataria,7349,0.0,84.0
Barbeau,10606,0.0,84.0
Barberton,6693,0.0,84.0
Barboursville,14234,0.0,84.0
Barbourville,8046,0.0,79.0
Barceloneta,5134,0.0,79.0
Barclay,10409,0.0,84.0
Barco,7302,0.0,84.0
Bard,13300,0.0,84.0
Bardolph,9155,0.0,84.0
Bardstown,7578,0.0,74.0
Bardwell,23716,0.0,84.0
Bargersville,7857,0.0,84.0
Barhamsville,10756,0.0,84.0
Baring,15892,0.0,84.0
Bark River,10751,5.0,84.0
Barker,6551,0.0,84.0
Barksdale,10074,0.0,84.0
Barksdale AFB,8291,0.0,79.0
Barling,8211,5.0,84.0
Barlow,9208,0.0,79.0
Barnard,30008,0.0,84.0
Barnardsville,12167,0.0,79.0
Barnegat,6032,0.0,79.0
Barnegat Light,10391,5.0,84.0
Barnes,10194,0.0,84.0
Barnes City,8387,0.0,84.0
Barnesboro,7065,5.0,84.0
Barneston,3618,0.0,79.0
Barnesville,41580,0.0,84.0
Barnet,8044,0.0,84.0
Barnett,5969,0.0,79.0
Barneveld,13531,0.0,84.0
Barney,14178,0.0,84.0
Barnhart,18545,0.0,84.0
Barnhill,5147,10.0,84.0
Barnsdall,5088,0.0,79.0
Barnstable,7544,10.0,84.0
Barnstead,6180,0.0,84.0
Barnum,18722,0.0,84.0
Barnwell,7572,0.0,79.0
Baroda,10107,0.0,84.0
Barrackville,12519,0.0,79.0
Barranquitas,6672,0.0,84.0
Barre,24791,0.0,84.0
Barren Springs,5726,0.0,74.0
Barrett,8365,0.0,84.0
Barrington,40581,0.0,84.0
Barron,8685,5.0,84.0
Barronett,9195,0.0,84.0
