City,PrivateWork,PublicWork,SelfEmployed,FamilyWork
Clay City,81.8,11.3,6.9,0.0
Clayton,68.8,21.160000000000004,9.86,0.13999999999999999
Cle Elum,66.1,26.0,7.7,0.3
Clearbrook,70.3,20.1,9.2,0.4
Cleveland,77.325,15.825,6.6,0.22500000000000003
Clifford,78.8,15.1,5.9,0.2
Clifton,71.05000000000001,17.35,11.25,0.4
Clifton Forge,77.3,16.3,6.3,0.1
Clinton,76.1,15.0,9.0,0.0
Clio,71.8,20.8,7.3,0.1
Cloquet,72.8,20.4,6.4,0.3
Clover,82.2,12.6,5.0,0.2
Cloverdale,73.7,16.5,9.8,0.1
Cluster Springs,73.5,18.9,7.3,0.3
Coahoma,72.0,23.0,4.9,0.1
Coal City,83.7,12.2,4.1,0.1
Coalgate,64.6,25.2,9.5,0.7
Coamo,64.4,28.0,7.5,0.0
Coats,71.9,17.2,9.6,1.3
Coatsville,68.1,17.7,13.6,0.5
Coeburn,66.5,28.8,4.3,0.3
Coffeeville,82.2,12.6,5.1,0.1
Colby,69.9,18.5,11.4,0.1
Cold Brook,76.3,16.7,6.9,0.2
Coldwater,79.9,15.8,4.2,0.1
Colebrook,72.7,18.0,9.0,0.4
Coleman,83.0,10.399999999999999,6.15,0.5
Collierville,79.8,13.0,7.1,0.1
Collins,66.7,24.8,8.4,0.1
Collinston,84.4,12.1,3.4,0.1
Collison,78.9,15.2,5.7,0.2
Colonial Heights,71.7,24.1,3.8,0.4
Colorado City,66.7,25.9,7.0,0.4
Colt,70.7,22.1,6.9,0.3
Columbia,74.25,15.7,9.7,0.35
Columbia City,85.1,9.3,5.5,0.1
Columbia Falls,78.2,13.4,8.1,0.3
Columbiaville,85.0,9.1,5.7,0.2
Columbus,79.0,13.599999999999998,7.15,0.225
Columbus Grove,84.7,11.0,4.1,0.1
Comanche,78.0,14.6,7.0,0.4
Comer,67.7,25.1,7.1,0.0
Comerio,63.5,28.4,8.2,0.0
Comfort,73.9,15.7,10.4,0.0
Comfrey,75.1,13.3,11.3,0.3
Comins,73.2,16.0,10.2,0.6
Commerce,75.85,17.75,6.199999999999999,0.15
Commiskey,81.9,13.6,4.4,0.1
Concord,70.75,16.25,12.649999999999999,0.35
Concrete,76.4,15.7,7.8,0.1
Conehatta,68.3,25.8,5.9,0.0
Conley,79.6,15.4,4.9,0.1
Connellsville,84.7,10.3,4.8,0.2
Conover,70.8,15.9,13.0,0.2
Conrad,66.0,19.0,14.4,0.6
Conroe,80.4,11.7,7.8,0.1
Converse,83.6,11.3,5.0,0.1
Conway,76.9,17.45,5.35,0.25
Conway Springs,75.6,18.1,6.1,0.2
Cook Station,79.6,11.8,8.4,0.2
Coon Valley,76.3,12.5,10.8,0.4
Cooper,73.1,15.4,10.9,0.5
Coquille,71.8,17.7,9.9,0.5
Cora,73.1,22.8,3.9,0.1
Corinth,79.80000000000001,15.100000000000001,5.1,0.05
Cornersville,80.8,12.9,6.2,0.1
Corning,70.1,20.1,9.6,0.2
Cornish,79.2,12.9,7.8,0.1
Corsica,68.1,14.9,16.6,0.3
Cortez,68.0,20.5,10.9,0.7
Corunna,83.85,10.45,5.45,0.2
Corwith,77.2,11.6,10.5,0.7
Cosby,77.95,13.45,8.3,0.3
Coshocton,81.5,10.7,7.2,0.7
Cost,77.2,13.2,9.1,0.5
Cotopaxi,66.2,27.0,6.7,0.1
Cotter,78.9,12.8,8.3,0.0
Cotton Center,75.9,16.4,7.4,0.2
Cottonwood Falls,73.3,18.6,8.0,0.1
Cotulla,78.2,14.0,7.8,0.0
Couch,71.4,16.8,11.6,0.2
Coulee City,79.2,14.6,5.7,0.4
Council,60.4,25.2,14.2,0.1
Coupeville,67.2,23.6,8.8,0.4
Courtland,80.1,16.3,3.6,0.0
Cove City,72.1,22.1,5.5,0.3
Covington,76.95,17.133333333333336,5.766666666666666,0.13333333333333333
Coxsackie,68.1,23.3,7.8,0.8
Coy,68.9,26.0,5.1,0.0
Crab Orchard,68.45,19.65,11.6,0.25
Craigsville,77.6,16.4,5.8,0.2
Craigville,80.6,10.1,8.7,0.6
Crane,78.35,17.05,4.4,0.2
Crawford,59.1,26.6,11.7,2.5
Crawfordsville,81.9,11.2,6.9,0.0
Crawfordville,70.7,23.200000000000003,6.050000000000001,0.0
Crayne,74.5,16.7,8.7,0.1
Crenshaw,68.1,24.4,7.5,0.0
Creole,70.2,22.3,7.2,0.3
Cresco,81.0,14.1,4.8,0.1
Crestline,82.8,11.6,5.5,0.0
Creston,76.95,16.0,6.9,0.15
Creswell,75.6,19.3,5.2,0.0
Cromwell,79.7,14.8,5.5,0.0
Crook,72.9,18.9,8.0,0.1
Cropwell,81.6,12.3,6.0,0.1
Crossville,78.8,12.6,8.5,0.1
Crowell,63.949999999999996,24.95,10.25,0.8500000000000001
Crowley,80.9,13.3,5.7,0.1
Crown Point,85.3,11.0,3.5,0.2
Crystal Spring,76.7,15.3,7.5,0.5
Crystal Springs,79.7,15.1,5.2,0.0
Cub Run,71.2,14.6,13.6,0.6
Cuba,77.3,16.3,6.4,0.1
Culbertson,57.5,30.15,11.25,1.1
Culebra,33.4,44.3,22.2,0.0
Cullman,81.6,12.2,5.8,0.4
Cumberland,74.0,20.2,5.8,0.1
Cumberland Center,81.0,11.1,7.9,0.1
Cumberland Gap,77.8,13.5,8.4,0.3
Currie,70.7,15.2,13.6,0.4
Cushing,77.33333333333333,13.466666666666667,8.933333333333334,0.2333333333333333
Cusseta,69.75,25.2,5.05,0.0
