City,Employed,Unemployment
Gosport,9276,8.0
Gouldbusk,3235,8.2
Gouldsboro,173908,15.5
Gouverneur,44714,10.0
Gove,1367,1.9
Grace,3121,1.5
Graham,82690,18.200000000000003
Granby,26122,6.1
Grand Forks,37754,3.6
Grand Isle,30612,7.5
Grand Ledge,62962,16.9
Grand Marais,2788,4.0
Grand Rapids,318944,14.4
Grand Valley,18545,6.6
Granite Falls,6367,2.6
Grant,229693,10.9
Grants,9625,15.3
Grantsville,26337,7.1
Granville Summit,26689,5.6
Grapeview,22155,12.9
Grasston,19932,17.200000000000003
Gravois Mills,24278,20.799999999999997
Graysville,30069,8.1
Greeley,1127,1.9
Greeleyville,22859,27.799999999999997
Green Castle,2097,2.8
Green City,2794,6.0
Green River,23010,5.4
Green Springs,25327,8.1
Greenbush,3288,12.2
Greene,86274,8.2
Greenfield,73258,27.400000000000002
Greenleaf,81460,9.4
Greenmountain,13006,19.6
Greensboro,14773,7.2
Greensburg,7700,7.7
Greenville,246321,48.300000000000004
Greenwich,50632,8.7
Greenwood,201390,36.699999999999996
Grey Eagle,11437,5.1
Griffithsville,7245,10.1
Grifton,23972,13.1
Grimes,8837,10.4
Grinnell,1286,1.2
Groom,3856,2.8
Grosse Tete,13049,7.9
Groveport,24777,6.9
Grover Hill,13163,7.5
Groves,103203,8.8
Gruver,2629,2.3
Guanica,12747,54.3
Guayama,9713,17.4
Guilford,6632,10.5
Gunnison,11468,17.5
Guntown,9428,9.3
Gurabo,11559,24.0
Gurley,5681,1.6
Guttenberg,50102,4.3
Hadley,84303,7.2
Hagarville,10376,6.2
Hagerstown,95992,17.5
Hague,7423,9.7
Haiku,81619,6.9
Haines,1470,3.0
Haleyville,11560,9.9
Hamer,27267,25.299999999999997
Hamill,1719,7.4
Hamilton,40214,29.6
Hamilton City,10523,12.6
Hamlin,25964,3.7
Hampshire,4858,7.7
Hampstead,88196,4.6
Hampton,65549,12.3
Hanalei,33996,5.4
Hanover,713767,27.9
Hanston,1005,2.5
Hardeeville,11707,11.9
Hardesty,11144,3.5
Hardin,6894,25.299999999999997
Harlem,8314,9.5
Harold,11922,9.7
Harpers Ferry,26418,8.4
Harrell,2243,7.2
Harrellsville,8679,13.7
Harrietta,13441,9.5
Harrington,4050,4.8
Harrisburg,140296,21.0
Harrison,5679,10.9
Harrisonburg,62119,11.9
Harrisonville,48122,6.7
Harrodsburg,9331,11.5
Harrold,15597,10.6
Hart,12183,10.7
Hartford,10419,11.2
Hartland,247058,18.6
Harvey,6305,12.200000000000001
Hastings,63822,17.200000000000003
Hatillo,12623,13.3
Hattiesburg,59599,21.6
Haughton,56570,5.7
Haviland,1315,4.0
Hawkins,6462,5.9
Hawkinsville,3949,7.4
Hawley,21211,7.8
Hawthorne,24209,12.6
Hay Springs,4613,2.6
Hayes,1674,1.4
Hayes Center,549,1.8
Haymarket,223939,5.4
Hazelton,1583,3.6
Hazen,3513,6.2
Head Waters,1006,1.1
Healy,926,2.4
Heath,81446,7.2
Hebbronville,1786,16.5
Hebron,62624,5.6
Heflin,8630,10.3
