City,Hispanic,White,Black,Native,Asian,Pacific
Bushnell,7.9,89.4,0.3,0.1,0.6,0.0
Bussey,1.8,95.1,0.5,0.2,1.0,0.0
Butte,2.25,94.1,0.65,1.1,0.35,0.0
Butternut,0.9,96.6,0.4,0.6,0.1,0.0
Byhalia,5.0,68.0,23.8,0.1,1.3,0.0
Byrdstown,0.4,97.3,0.7,0.0,0.0,0.0
Byron,6.85,52.0,37.3,0.1,1.95,0.0
Cabins,0.6,96.7,1.4,0.0,0.0,0.0
Cadiz,1.6,88.3,8.8,0.0,0.5,0.0
Caguas,99.3,0.7,0.0,0.0,0.0,0.0
Cairo,13.55,65.35,18.25,0.45,0.65,0.0
Caldwell,1.0,95.1,1.5,0.1,0.3,0.0
Caledonia,3.3,91.2,2.2,0.1,1.3,0.0
Calhoun,2.35,91.80000000000001,3.1,0.5,0.55,0.0
Calhoun City,5.6,65.4,26.9,0.0,0.0,0.5
Caliente,7.1,84.2,2.9,3.9,0.1,0.0
Call,3.4,73.8,20.9,0.4,0.6,0.0
Calumet,1.4,92.6,0.7,0.4,2.9,0.0
Calvin,0.0,99.3,0.0,0.0,0.2,0.0
Camarillo,41.6,47.0,1.6,0.3,6.9,0.1
Cambria,4.6,93.2,0.5,0.3,0.4,0.0
Cambridge,5.0,90.2,1.8666666666666665,0.9,0.7000000000000001,0.0
Camden,1.5333333333333332,81.3,15.333333333333334,0.26666666666666666,0.13333333333333333,0.0
Cameron,3.8,82.5,9.7,0.6,0.2,0.0
Camilla,4.4,46.4,47.2,0.1,0.3,0.0
Camp Douglas,2.9,92.1,2.3,1.5,0.4,0.0
Camp Hill,3.2,87.9,3.3,0.1,3.4,0.0
Campbellsburg,1.4,97.0,0.1,0.4,0.2,0.0
Campbelltown,11.0,84.7,1.7,0.1,1.1,0.0
Campton,1.4500000000000002,94.0,0.8,0.5,1.7000000000000002,0.05
Camuy,99.4,0.6,0.0,0.0,0.0,0.0
Canandaigua,4.1,90.8,2.3,0.2,1.2,0.0
Candor,10.55,60.75,25.05,1.45,0.9,0.0
Cannelburg,4.5,93.0,1.4,0.0,0.3,0.0
Cannon Beach,8.1,86.4,0.7,0.3,0.9,0.2
Canovanas,99.9,0.1,0.1,0.0,0.0,0.0
Canton,4.166666666666667,84.86666666666666,5.233333333333333,1.8,0.43333333333333335,0.0
Cantwell,2.6,84.7,0.6,3.5,2.9,0.0
Cape Coral,19.3,69.5,8.2,0.2,1.5,0.0
Carey,20.5,77.3,0.1,0.0,1.2,0.0
Carlyle,3.0,91.7,3.4,0.1,0.5,0.0
Carmel,12.7,81.2,2.2,0.0,2.3,0.0
Carolina,98.8,0.8,0.1,0.0,0.2,0.0
Carpenter,2.3,95.3,0.6,0.65,0.1,0.25
Carrabelle,5.0,78.6,13.7,0.3,0.8,0.6
Carrington,1.2,96.5,0.1,0.8,0.7,0.0
Carrollton,2.5,70.7,22.8,0.1,0.9,0.0
Carson,0.45,67.7,30.75,0.55,0.0,0.0
Carson City,22.7,68.8,0.9,1.9,2.7,0.6
Cartersville,4.0,70.95,21.950000000000003,0.45,0.4,0.0
Carthage,3.125,70.47500000000001,23.974999999999998,0.22499999999999998,0.9750000000000001,0.0
Cartwright,2.8,76.7,0.8,17.2,0.4,0.0
Cascade Locks,30.5,64.8,0.5,0.7,1.8,0.0
Casco,2.4,95.5,0.3,0.5,0.4,0.0
Cassatt,4.1,68.9,24.7,0.2,0.5,0.0
Castalia,7.9,63.5,25.5,0.4,0.4,0.0
Castell,24.6,71.8,0.0,0.5,3.1,0.0
Castleford,14.9,81.2,0.5,0.7,1.4,0.0
Cataldo,4.2,91.3,0.3,1.3,0.7,0.1
Cataula,3.2,77.0,16.2,0.1,0.8,0.0
Catoosa,5.4,72.7,3.5,8.1,1.3,0.0
Cave City,6.0,89.3,2.0,0.3,0.9,0.0
Cayce,5.7,76.0,14.4,0.3,1.6,0.1
Cayey,99.4,0.5,0.0,0.0,0.1,0.0
Cayuga,1.1,97.0,0.3,0.4,0.3,0.0
Cecil,5.9,64.9,27.7,0.3,0.3,0.0
Cedar Bluff,1.1,96.7,1.0,0.0,0.1,0.0
Cedar Falls,10.9,80.3,5.7,0.4,1.0,0.0
Cedar Valley,11.1,83.4,0.6,0.4,1.5,0.8
Ceiba,99.5,0.3,0.0,0.0,0.1,0.0
Centenary,2.7,39.4,55.7,0.5,0.6,0.0
Center,10.05,75.1,8.8,4.4,0.7,0.1
Center Harbor,1.6,95.1,0.5,0.2,1.1,0.0
Centerview,3.8,86.5,4.4,0.6,1.4,0.3
Centerville,1.8333333333333333,93.46666666666668,2.433333333333333,0.43333333333333335,0.26666666666666666,0.0
Central,3.3,86.5,6.6,0.4,1.7,0.1
Central Bridge,3.0,93.6,1.3,0.1,0.8,0.0
Central City,8.8,88.2,0.5,0.0,0.1,0.0
Centralia,1.7,91.9,3.7,0.2,0.7,0.0
Centreville,16.1,52.6,9.1,0.1,18.3,0.1
Ceres,43.6,44.7,2.4,0.5,5.2,0.7
Ceresco,2.1,95.8,0.6,0.3,0.3,0.0
Chadwick,3.3,93.9,1.1,0.1,0.4,0.0
Challis,2.7,95.2,0.0,0.6,0.0,0.4
Chamberlain,0.4,85.8,0.0,10.2,0.0,0.0
