City,Income,IncomeErr,IncomePerCap,IncomePerCapErr
Dahlonega,56943.0,3447.0,28832.0,2077.0
Dailey,39457.0,2608.0,21139.0,1093.0
Daisy,37865.0,3601.0,19625.0,1839.0
Dakota City,47252.0,3356.0,27814.0,1851.0
Daleville,43296.333333333336,2386.0,23009.0,963.6666666666666
Dalhart,52174.5,4026.5,20868.5,1823.0
Dalton,49956.0,1524.0,30469.0,749.0
Damon,69749.0,2073.0,30634.0,683.0
Dana,50633.0,1642.0,25755.0,539.0
Danville,38893.333333333336,2903.3333333333335,21338.666666666668,1562.3333333333333
Darlington,48213.0,2275.0,22911.0,741.0
Datto,32552.0,2465.0,19166.0,1096.0
Davidson,52306.0,1352.0,27558.0,731.0
Davis,40533.0,2099.0,22321.0,1517.0
Dawson Springs,42441.5,3885.5,21678.5,1099.0
Dawsonville,64522.0,2966.5,28731.0,1118.5
Dayton,46696.0,1714.6666666666667,25578.666666666668,684.0
De Borgia,36031.0,4563.0,20691.0,2204.0
De Mossville,48353.0,4990.0,23725.0,1908.0
De Queen,36579.0,3298.0,17371.0,848.0
De Smet,53828.0,3762.0,29747.0,1800.0
De Soto,44459.0,1468.0,23020.0,893.0
Dearborn,46315.0,1739.0,22218.0,577.0
Deary,42439.0,2751.0,22766.0,1071.0
Decatur,40087.5,2129.0,21830.5,950.5
Decorah,50159.5,2460.5,26144.0,1112.0
Dedham,88262.0,1348.0,45829.0,522.0
Deer Island,53179.0,2207.0,25885.0,1032.0
Deer Lodge,39049.0,3618.0,17646.0,1200.0
Deer Park,42811.0,2262.0,19743.0,1095.0
Deer Trail,84963.0,4050.0,38021.0,2373.0
Deerfield,62865.0,831.0,34562.0,389.0
Defuniak Springs,44966.0,2763.0,27393.0,1740.0
Delcambre,45374.0,2499.0,23261.0,748.0
Delta,49559.5,1974.0,24807.0,1026.5
Deltona,41117.0,718.0,24026.0,429.0
Deming,27476.0,1672.0,15078.0,964.0
Denhoff,48102.0,3348.0,32095.0,3680.0
Denmark,31314.0,3035.0,18215.0,1903.0
Dennis,63251.0,1533.0,37678.0,670.0
Denver,49794.5,2638.5,29516.5,1393.5
Denver City,56894.0,8142.5,22934.5,2347.0
Depew,45016.0,1991.0,23010.0,631.0
Derry,81198.0,1225.0,40469.0,727.0
Detroit,41210.0,304.0,22897.0,161.0
Devol,46361.0,6287.0,21640.0,1462.0
Dewy Rose,36520.5,3154.5,20287.0,1579.0
Dexter,42083.333333333336,2117.3333333333335,23814.666666666668,1335.0
Diaz,31261.0,2306.0,17797.0,1573.0
Dickinson,52055.0,3001.5,27589.0,1622.0
Dilley,36404.0,4068.0,17017.0,2628.0
Dillon,67983.0,7621.0,35753.0,2371.0
Dingmans Ferry,60180.0,3164.0,28533.0,1092.0
Dinwiddie,51397.0,2129.0,23395.0,1438.0
Disputanta,39194.0,4305.0,15143.0,1750.0
Divide,62372.0,3543.0,32707.0,1610.0
Dixfield,40630.0,1663.0,21280.0,576.0
Dixon Springs,41029.0,6431.0,20937.0,2428.0
Dodge,49540.5,2888.5,25215.0,1113.0
Dodson,33915.5,3252.0,17659.5,1182.5
Dolliver,47795.0,3758.0,27707.0,2295.0
Donaldsonville,70551.0,1834.0,29269.0,866.0
Donnelly,48384.0,7162.0,23962.0,2229.0
Doon,57130.0,2941.0,26777.0,1390.0
Dorado,25125.0,1667.0,13042.5,753.0
Doswell,78645.0,2618.0,34701.0,686.0
Dothan,41784.0,2041.5,23428.0,944.5
Douglas,33965.0,2469.0,17540.0,1010.0
Douglass,39538.0,2005.0,21113.0,903.0
Douglasville,53881.0,2368.0,23158.0,609.0
Dove Creek,31875.0,3530.0,20199.0,2034.0
Dover,57505.0,2476.5,26568.5,910.0
Dow City,48084.0,4013.0,23344.0,1579.0
Downsville,34992.0,3463.0,19676.0,1192.0
Doyle,34901.0,2305.0,17451.0,1010.0
Doylesburg,53916.0,1606.0,26025.0,651.0
Drakes Branch,39506.0,3696.0,18428.0,1996.0
Drewsey,37580.0,2496.0,21040.0,1564.0
Driscoll,54559.0,4474.0,32743.0,2923.0
Drummond,46665.0,1207.0,26485.0,652.0
Dry Branch,30468.0,3565.0,17768.0,2017.0
Dryden,31111.0,8353.0,27062.0,3927.0
Du Bois,42750.0,6759.0,25358.0,1825.0
Duck Hill,30146.0,3052.0,17674.0,1684.0
Dudley,32356.0,1971.0,19194.0,915.0
Duke Center,43965.0,1272.0,23554.0,925.0
Dulce,36098.0,3101.0,19678.0,989.0
Duluth,48331.0,1074.0,27190.0,463.0
Dumont,47794.0,3309.0,27426.0,1569.0
Dundee,28851.0,2660.0,15393.0,851.0
Dunellen,79593.0,1012.0,34674.0,328.0
Dunn Center,69732.0,9653.0,41849.0,5088.0
Dunning,48875.0,4903.0,21854.0,2519.0
Dupree,35119.0,3563.0,12877.0,906.0
Durand,49516.0,2600.0,24951.0,951.0
Durango,36324.0,2185.0,23143.0,3943.0
Durant,20732.0,1507.0,11972.0,955.0
Durham,52503.0,1146.0,30268.0,557.0
Dustin,35563.0,2072.0,17723.0,1081.0
Dutch John,56750.0,9413.0,22149.0,4614.0
Eagle,56356.0,1082.0,28851.0,622.0
Eagle Pass,33747.0,2484.0,15249.0,746.0
Eagle River,46516.0,2423.0,26432.0,892.0
Earle,38053.5,2777.0,19612.5,946.0
Earling,50952.0,2615.0,27695.0,1531.0
East Concord,51247.0,514.0,28879.0,278.0
East Jordan,46554.0,1601.0,28188.0,1401.0
East Nassau,60709.0,1505.0,30803.0,672.0
East Peoria,58194.0,1612.0,29718.0,666.0
East Prairie,28347.0,2186.0,16515.0,1379.0
East Stone Gap,37407.0,3099.0,20321.0,1547.0
Eastsound,55960.0,2229.0,39266.0,1714.0
Eastview,50765.0,1766.0,24845.0,657.0
Eaton,38190.0,1641.0,20534.0,979.0
Eatonton,44299.0,3123.0,25864.0,2302.0
Eau Claire,52109.0,1400.0,25651.0,722.0
Ebro,38970.0,2275.0,18164.0,1131.0
Echola,46565.0,1280.0,23124.0,546.0
Eckert,42452.0,2626.0,24417.0,1982.0
Edelstein,51147.0,845.0,28610.0,539.0
Edgartown,64222.0,8996.0,38560.0,4531.0
Edgemont,49107.5,3881.5,27293.5,2040.0
Edgerton,51496.0,3692.0,26065.0,1276.0
Edgewood,32083.0,3004.0,18300.0,1381.0
Edinburg,53504.0,4371.0,31244.0,1921.0
Edison,51993.0,3131.0,23420.0,898.0
Edon,42492.0,1988.0,22234.0,917.0
Edson,39029.0,4372.0,21786.0,1899.0
Egegik,50781.0,9403.0,23041.0,2272.0
Ekalaka,45000.0,4958.0,29391.0,3330.0
El Cerrito,80185.0,827.0,39313.0,398.0
El Paso,34010.5,1709.0,17435.0,1502.0
El Reno,64505.0,1511.0,28246.0,606.0
Eldorado,43396.5,5962.0,23045.0,2937.0
Eldridge,55114.0,1052.0,29391.0,592.0
Electra,60275.0,5182.0,29380.0,2233.0
Electric City,48714.0,2269.0,20251.0,616.0
Elfrida,45075.0,1485.0,23506.0,778.0
Elgin,62299.0,2322.0,28031.0,1124.0
Elizabeth,40948.0,3552.0,19868.0,1686.0
Elizabeth City,52079.0,4491.0,24386.0,1687.0
Elk City,41083.0,1652.0,20864.0,836.0
Elk Horn,40159.5,3558.5,24001.0,1824.0
Elk Park,37777.0,2921.0,21298.0,2076.0
Elkhart,47913.0,1143.0,21817.0,458.0
Elkton,41312.0,1316.0,22591.0,693.0
Ellabell,63327.0,2486.0,26934.0,1404.0
Ellaville,39375.0,3458.0,19858.0,2221.0
Ellenboro,41870.5,2647.0,22058.0,1483.5
Ellendale,53751.0,1168.0,28558.0,532.0
Ellinger,47808.0,4108.0,28458.0,2111.0
Elliott,43750.0,2378.0,25868.0,1584.0
Elliottville,36860.0,3376.0,18185.0,1063.0
Ellsinore,33034.0,4853.0,20318.0,2319.0
Ellsworth,47829.0,4104.5,28395.5,3842.5
Ellwood City,44571.0,1352.0,24450.0,610.0
Elm City,39847.0,1255.0,21486.0,743.0
Elm Creek,48329.0,2089.0,22098.0,856.0
Elmendorf,51150.0,405.0,24735.0,199.0
Elmira,50320.0,1785.0,26262.0,827.0
Elmo,49787.0,2154.0,19717.0,961.0
Eltopia,56980.0,2936.0,20412.0,612.0
Ely,57122.0,7119.0,24359.0,2436.0
Emmetsburg,47113.0,2245.0,26154.0,1332.0
Emory,48448.0,3953.0,23443.0,1283.0
Empire,59012.0,4108.5,33824.5,3055.0
Emporia,28601.0,5096.0,20417.0,3008.0
Encampment,56825.0,3998.0,26706.0,1163.0
Enders,52422.0,5371.0,29905.0,4520.0
