City,Mean,Stdev,Median
Albert City,58829.0,46945.0,47820.0
Albert Lea,46557.666666666664,37940.0,37826.333333333336
Albertson,181057.0,69689.0,194521.0
Albertville,47199.5,37759.0,160358.5
Albia,55573.0,35901.0,46997.0
Albion,50680.375,36581.125,43786.125
Albrightsville,48035.0,39256.0,37088.0
Albuquerque,63773.38983050847,46159.627118644064,97945.81355932204
Alburtis,75069.0,46193.0,181404.0
Alcoa,48005.0,32392.0,43268.0
Aldan,68553.0,44823.5,57770.0
Alden,63293.0,45098.0,54590.5
Aldie,115480.0,72106.0,102170.5
Aledo,110925.33333333333,62406.333333333336,107600.66666666667
Alexander,58374.5,40139.0,49472.5
Alexander City,40286.0,39643.0,31306.0
Alexandria,92752.25,53951.125,119921.20833333333
Alexis,58087.0,49785.0,40292.0
Algoma,63634.0,40304.0,59493.0
Algona,60021.0,48746.0,39470.0
Algonac,68706.0,48644.0,62212.0
Algonquin,113415.0,73084.5,104450.5
Algood,56134.0,49408.0,46063.0
Alhambra,75629.2,57822.6,60212.4
Alice,53805.0,47613.0,30317.5
Aliceville,31491.0,31526.5,22086.0
Aliquippa,67456.0,48062.333333333336,57618.333333333336
Aliso Viejo,90167.0,48675.0,137931.5
Allakaket,33847.0,21247.0,27223.0
Allardt,43209.0,30731.0,37144.0
Allegan,50082.0,33170.0,42435.0
Allegany,51080.0,34161.0,46974.0
Allen,89598.5,51777.375,132414.625
Allen Park,78132.33333333333,49816.0,143506.66666666666
Allendale,73230.8,54510.4,66348.0
Allenton,63765.0,28802.0,62440.0
Allentown,50485.71428571428,42076.92857142857,40375.642857142855
Alliance,54549.71428571428,44598.57142857143,44377.28571428572
Allison,61836.0,46923.5,51596.0
Allison Park,87885.0,57816.0,80789.0
Allston,55446.666666666664,48316.666666666664,124598.0
Alma,48929.28571428572,36889.57142857143,40054.42857142857
Alma Center,55828.0,35541.0,50237.0
Almena,56654.0,40319.0,47757.0
Almond,66769.0,50719.0,53827.0
Aloha,71373.66666666667,56898.0,57676.0
Alpena,54361.8,46788.6,40435.4
Alpharetta,120771.77777777778,66102.55555555556,129578.88888888889
Alpine,94245.4,68497.6,162839.4
Alsip,65765.66666666667,42027.666666666664,134739.0
Alta,64090.666666666664,53831.666666666664,48971.0
Alta Loma,98738.16666666667,62375.166666666664,89332.33333333333
Altadena,88514.0,62081.75,181586.5
Altair,49710.0,54788.0,30273.0
Altamont,64828.0,37233.0,300000.0
Altamonte Springs,70103.5,51977.833333333336,136964.0
Altenburg,56746.0,36569.0,52820.0
Altheimer,34661.0,27608.0,26162.0
Alto,26825.0,23910.0,21876.0
Alton,56764.6,40856.4,51028.4
Altoona,46010.5,38517.0,58529.9
Altus,46877.0,34332.5,39024.0
Alum Creek,56057.0,49592.0,41120.0
Alva,73064.0,61800.0,57012.0
Alvarado,51252.0,36730.0,44899.0
Alvaton,81386.0,56018.0,64723.0
Alvin,71183.8,53822.0,59529.4
Alviso,87293.0,62990.0,76559.0
